Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Number_of_vehicles_involved
18-30,male,above high school,employee,below 1yr,car,other,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
over 51,male,elementary school,employee,5-10yr,lorry,office areas,undivided two way,crossing,asphalt roads,daylight,normal,collision with roadside objects,turnover,not a pedestrian,driving carelessly,Slight Injury,2
over 51,unknown,elementary school,employee,5-10yr,other,office areas,two-way (divided with solid lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,bus,residential areas,undivided two way,crossing,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,moving backward,Slight Injury,2
18-30,male,high school,employee,5-10yr,other,office areas,one way,o shape,asphalt roads,daylight,raining,vehicle with vehicle collision,getting off,not a pedestrian,no distancing,Slight Injury,2
18-30,male,writing & reading,employee,5-10yr,lorry,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,overtaking,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,lorry,school areas,undivided two way,o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
18-30,male,elementary school,employee,1-2yr,car,office areas,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,rollover,getting off,not a pedestrian,no distancing,Slight Injury,2
over 51,male,junior high school,employee,5-10yr,car,residential areas,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,reversing,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,elementary school,employee,above 10yr,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,no priority to vehicle,Slight Injury,1
31-50,male,junior high school,employee,above 10yr,bus,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,other,other,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,driving at high speed,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,other,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overtaking,Slight Injury,2
over 51,male,junior high school,employee,2-5yr,bus,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
under 18,male,elementary school,employee,above 10yr,lorry,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,elementary school,employee,above 10yr,lorry,church areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,getting off,not a pedestrian,moving backward,Serious Injury,1
31-50,male,junior high school,employee,above 10yr,other,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,below 1yr,other,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
under 18,male,junior high school,employee,above 10yr,other,other,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,writing & reading,employee,2-5yr,lorry,other,other,y shape,asphalt roads,daylight,normal,rollover,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
under 18,male,junior high school,employee,2-5yr,lorry,office areas,one way,y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,driving under the influence of drugs,Slight Injury,2
31-50,male,high school,employee,2-5yr,bus,residential areas,two-way (divided with broken lines road marking),other,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,car,other,two-way (divided with broken lines road marking),other,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,2
18-30,male,elementary school,employee,2-5yr,car,church areas,two-way (divided with broken lines road marking),o shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,bus,residential areas,two-way (divided with broken lines road marking),o shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,elementary school,employee,1-2yr,lorry,office areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,changing lane to the right,Slight Injury,2
18-30,male,high school,employee,no licence,lorry,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,rollover,going straight,not a pedestrian,driving under the influence of drugs,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,other,church areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,moving backward,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,high school,owner,above 10yr,other,residential areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,no distancing,Serious Injury,2
31-50,male,elementary school,owner,above 10yr,lorry,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,owner,2-5yr,lorry,office areas,undivided two way,o shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,owner,2-5yr,car,office areas,undivided two way,o shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
over 51,male,junior high school,owner,unknown,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,car,residential areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,no distancing,Slight Injury,2
18-30,male,high school,owner,5-10yr,other,school areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,car,residential areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,no priority to pedestrian,Slight Injury,1
18-30,male,junior high school,employee,above 10yr,car,other,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,bus,other,one way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,1
18-30,male,junior high school,employee,no licence,car,other,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,elementary school,employee,5-10yr,other,office areas,two-way (divided with solid lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,no distancing,Slight Injury,2
18-30,male,high school,employee,5-10yr,other,office areas,one way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,unknown or other,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,office areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,lorry,school areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,other,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,writing & reading,employee,below 1yr,lorry,residential areas,one way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,elementary school,employee,1-2yr,car,office areas,undivided two way,y shape,asphalt roads,daylight,normal,rollover,going straight,not a pedestrian,changing lane to the right,Slight Injury,1
